Family,Genus,Species,Genus corrected,Species corrected,Growth form,Plant traits,Plant trait value,Trait unit,Minimun value,Maximum value,Trait range mean value,Trait range unit,Sample size value,Sample unit,Origin,Deciduousness,Succession,Nitrogen fixing,Shade tolerance,Dispersal syndrome,Dispersal group,Pollination,Pollination group,Sexual system,Reproductive system,Resprouting capsule,Flower color 1,Flower color 2,Flowering period start,Flowering period end,Flower shape,Odour,Anthesis time,Fruit color,Fruit period start,Fruit period end,Fruit type,Fruit dehiscence,Fruit secundary structure,Seed color,Seed arillus,Arrilus color,Usefulness,Usefulness group,Source,Study Date,Study Country,Study State,Study City,Study Area,Study Bioma,Physiognomy type,Database DOI,Full Reference APA Database,Reference citation,Paper DOI,Full reference APA,Created At,Created By,Modified At,Modified By,Editor Name,Editor Email,Additional Notes
Leguminosae,Ormosia,arborea,,,tree,seed_lenght,1.8,mm,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,dry,,,,,,,,literature,,brazil,,,,,,,,"castro & galetti, 2004",issn 0031-1049,"castro, e. r.; galetti, m. (2004). frugivoria e dispersão de sementes pelo lagarto teiú tupinambis merianae (reptilia: teiidae). papéis avulsos de zoologia, volume 44(6):91-97, 2004.",07/02/2022 20:49:30,yuri,07/02/2022 20:49:30,yuri,,,
Leguminosae,Ormosia,arborea,,,tree,seed_diametereter,1.7,mm,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,dry,,,,,,,,literature,,brazil,,,,,,,,"castro & galetti, 2004",issn 0031-1049,"castro, e. r.; galetti, m. (2004). frugivoria e dispersão de sementes pelo lagarto teiú tupinambis merianae (reptilia: teiidae). papéis avulsos de zoologia, volume 44(6):91-97, 2004.",07/02/2022 20:49:30,yuri,07/02/2022 20:49:30,yuri,,,
Leguminosae,Ormosia,arborea,,,tree,seed_freshmass,1.1,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,,,,,,literature,,brazil,,,,,,,,"castro & galetti, 2004",issn 0031-1049,"castro, e. r.; galetti, m. (2004). frugivoria e dispersão de sementes pelo lagarto teiú tupinambis merianae (reptilia: teiidae). papéis avulsos de zoologia, volume 44(6):91-97, 2004.",07/02/2022 20:49:30,yuri,07/02/2022 20:49:30,yuri,,,
Myrtaceae,Psidium,guajava,,,"tree, shrub",fruit_length,6.2,cm,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,fleshy,,,,,,,,literature,,brazil,,,,,,,,"castro & galetti, 2004",issn 0031-1049,"castro, e. r.; galetti, m. (2004). frugivoria e dispersão de sementes pelo lagarto teiú tupinambis merianae (reptilia: teiidae). papéis avulsos de zoologia, volume 44(6):91-97, 2004.",07/02/2022 20:49:30,yuri,07/02/2022 20:49:30,yuri,,,
Myrtaceae,Psidium,guajava,,,"tree, shrub",fruit_diameter,5.9,cm,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,fleshy,,,,,,,,literature,,brazil,,,,,,,,"castro & galetti, 2004",issn 0031-1049,"castro, e. r.; galetti, m. (2004). frugivoria e dispersão de sementes pelo lagarto teiú tupinambis merianae (reptilia: teiidae). papéis avulsos de zoologia, volume 44(6):91-97, 2004.",07/02/2022 20:49:30,yuri,07/02/2022 20:49:30,yuri,,,
Myrtaceae,Psidium,guajava,,,"tree, shrub",fruit_freshmass,23,g,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,fleshy,,,,,,,,literature,,brazil,,,,,,,,"castro & galetti, 2004",issn 0031-1049,"castro, e. r.; galetti, m. (2004). frugivoria e dispersão de sementes pelo lagarto teiú tupinambis merianae (reptilia: teiidae). papéis avulsos de zoologia, volume 44(6):91-97, 2004.",07/02/2022 20:49:30,yuri,07/02/2022 20:49:30,yuri,,,
Myrtaceae,Psidium,guajava,,,"tree, shrub",seed_lenght,0.6,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fleshy,,,,,,,,literature,,brazil,,,,,,,,"castro & galetti, 2004",issn 0031-1049,"castro, e. r.; galetti, m. (2004). frugivoria e dispersão de sementes pelo lagarto teiú tupinambis merianae (reptilia: teiidae). papéis avulsos de zoologia, volume 44(6):91-97, 2004.",07/02/2022 20:49:30,yuri,07/02/2022 20:49:30,yuri,,,
Myrtaceae,Psidium,guajava,,,"tree, shrub",seed_diametereter,0.5,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fleshy,,,,,,,,literature,,brazil,,,,,,,,"castro & galetti, 2004",issn 0031-1049,"castro, e. r.; galetti, m. (2004). frugivoria e dispersão de sementes pelo lagarto teiú tupinambis merianae (reptilia: teiidae). papéis avulsos de zoologia, volume 44(6):91-97, 2004.",07/02/2022 20:49:30,yuri,07/02/2022 20:49:30,yuri,,,
Myrtaceae,Psidium,guajava,,,"tree, shrub",seed_freshmass,0.4,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fleshy,,,,,,,,literature,,brazil,,,,,,,,"castro & galetti, 2004",issn 0031-1049,"castro, e. r.; galetti, m. (2004). frugivoria e dispersão de sementes pelo lagarto teiú tupinambis merianae (reptilia: teiidae). papéis avulsos de zoologia, volume 44(6):91-97, 2004.",07/02/2022 20:49:30,yuri,07/02/2022 20:49:30,yuri,,,
Arecaceae,Syagrus,romanzoffiana,,,palm,fruit_length,2.5,cm,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,fleshy,,,,,,,,literature,,brazil,,,,,,,,"castro & galetti, 2004",issn 0031-1049,"castro, e. r.; galetti, m. (2004). frugivoria e dispersão de sementes pelo lagarto teiú tupinambis merianae (reptilia: teiidae). papéis avulsos de zoologia, volume 44(6):91-97, 2004.",07/02/2022 20:49:30,yuri,07/02/2022 20:49:30,yuri,,,
