"","Species","mammals","birds","bats","insects"
"1","Alseodaphne oblanceolata","","birds","bats",NA
"2","Matayba elaeognoides","","birds",NA,NA
"3","Matayba elaeognoides","","birds",NA,NA
"4","Matayba elaeognoides","","birds",NA,NA
"5","Matayba elaeognoides","","birds",NA,NA
"6","Matayba elaeognoides","","birds",NA,NA
"7","Chrysophyllum gonocarpum","mammals","birds","","insects"
"8","Chrysophyllum gonocarpum","mammals","birds","","insects"
"9","Chrysophyllum gonocarpum","mammals","birds","","insects"
"10","Chrysophyllum gonocarpum","mammals","birds","","insects"
"11","Acnistus arborescens","","birds",NA,NA
"12","Acnistus arborescens","","birds",NA,NA
"13","Acnistus arborescens","","birds",NA,NA
"14","Acnistus arborescens","","birds",NA,NA
"15","Acnistus arborescens","","birds",NA,NA
"16","Acnistus arborescens","","birds",NA,NA
"17","Acnistus arborescens","","birds",NA,NA
"18","Acnistus arborescens","","birds",NA,NA
"19","Acnistus arborescens","","birds",NA,NA
"20","Trema micrantha","","birds",NA,NA
"21","Trema micrantha","","birds",NA,NA
"22","Trema micrantha","","birds",NA,NA
"23","Trema micrantha","","birds",NA,NA
"24","Trema micrantha","","birds",NA,NA
"25","Trema micrantha","","birds",NA,NA
"26","Trema micrantha","","birds",NA,NA
"27","Trema micrantha","","birds",NA,NA
"28","Trema micrantha","","birds",NA,NA
"29","Acnistus arborescens","","birds",NA,NA
"30","Acnistus arborescens","","birds",NA,NA
"31","Acnistus arborescens","","birds",NA,NA
"32","Acnistus arborescens","","birds",NA,NA
"33","Acnistus arborescens","","birds",NA,NA
"34","Trichilia clausseni","","birds",NA,NA
"35","Trichilia clausseni","","birds",NA,NA
"36","Trichilia clausseni","","birds",NA,NA
"37","Trichilia clausseni","","birds",NA,NA
"38","Trichilia clausseni","","birds",NA,NA
"39","Casearia sylvestris","","birds",NA,NA
"40","Casearia sylvestris","","birds",NA,NA
"41","Casearia sylvestris","","birds",NA,NA
"42","Casearia sylvestris","","birds",NA,NA
"43","Trema micrantha","","birds",NA,NA
"44","Trema micrantha","","birds",NA,NA
"45","Trema micrantha","","birds",NA,NA
"46","Trema micrantha","","birds",NA,NA
"47","Cecropia spp.","","birds",NA,NA
"48","Cecropia spp.","","birds",NA,NA
"49","Cecropia spp.","","birds",NA,NA
"50","Cecropia spp.","","birds",NA,NA
"51","Cecropia spp.","","birds",NA,NA
"52","Schinus terebinthifolius","","birds",NA,NA
"53","Schinus terebinthifolius","","birds",NA,NA
"54","Schinus terebinthifolius","","birds",NA,NA
"55","Schinus terebinthifolius","","birds",NA,NA
"56","Melia azedarach","","birds",NA,NA
"57","Melia azedarach","","birds",NA,NA
"58","Melia azedarach","","birds",NA,NA
"59","Melia azedarach","","birds",NA,NA
"60","Melia azedarach","","birds",NA,NA
"61","Chrysophyllum gonocarpum","","birds",NA,NA
"62","Chrysophyllum gonocarpum","","birds",NA,NA
"63","Agonandra excelsa","mammals",NA,NA,NA
"64","Agonandra excelsa","mammals","birds",NA,NA
"65","Agonandra excelsa","mammals","","bats",NA
"66","Alchornea glandulosa","mammals",NA,NA,NA
"67","Alchornea glandulosa","","birds",NA,NA
"68","Alchornea triplinervia","","birds",NA,NA
"69","Allophylus racemosus","","birds",NA,NA
"70","Psidium sartorianum","mammals",NA,NA,NA
"71","Allophylus racemosus","mammals","birds",NA,NA
"72","Cordia superba","mammals",NA,NA,NA
"73","Trichilia clausseni","","birds",NA,NA
"74","Syagrus romanzoffiana","mammals","","bats","insects"
